YEAR,STATE,ST_Num,COUNTY,CTY_Num,TRACT_Num,Total_Housing_Units,Total_Vacant,Median_Home_Value,Foreign_Born,Median_Home_Age,Single_Family_Detached
2009-2014,Kentucky,21,Jefferson,111,106.02,2098,176,209600,271,24.5,463
2009-2014,Kentucky,21,Jefferson,111,107.01,2581,183,352900,444,24.5,1363
2009-2014,Kentucky,21,Jefferson,111,107.02,2515,128,209400,350,34.5,1501
2009-2014,Kentucky,21,Jefferson,111,107.05,2957,361,212500,724,34.5,1170
2009-2014,Kentucky,21,Jefferson,111,107.06,1454,31,225600,9,34.5,909
2009-2014,Kentucky,21,Jefferson,111,108,1694,163,152300,225,44.5,1123
2009-2014,Kentucky,21,Jefferson,111,109.01,2426,222,129700,1165,44.5,1332
2009-2014,Kentucky,21,Jefferson,111,109.02,1941,148,137700,197,54.5,1698
2009-2014,Kentucky,21,Jefferson,111,110.02,2661,319,115400,633,34.5,498
2009-2014,Kentucky,21,Jefferson,111,110.03,2773,82,134300,374,44.5,1823
2009-2014,Kentucky,21,Jefferson,111,110.04,3145,272,145300,613,44.5,1651
2009-2014,Kentucky,21,Jefferson,111,110.05,1356,66,109100,178,44.5,836
2009-2014,Kentucky,21,Jefferson,111,111.02,2765,169,159300,134,34.5,1859
2009-2014,Kentucky,21,Jefferson,111,111.06,3032,360,142300,590,44.5,2237
2009-2014,Kentucky,21,Jefferson,111,111.09,899,74,165200,100,34.5,718
2009-2014,Kentucky,21,Jefferson,111,111.1,2473,233,160000,231,24.5,2114
2009-2014,Kentucky,21,Jefferson,111,111.11,2384,188,180700,246,34.5,1373
2009-2014,Kentucky,21,Jefferson,111,111.12,1470,94,167500,210,14.5,947
2009-2014,Kentucky,21,Jefferson,111,111.13,1343,69,196600,131,14.5,666
2009-2014,Kentucky,21,Jefferson,111,111.14,2260,126,195300,589,14.5,1470
2009-2014,Kentucky,21,Jefferson,111,112,2870,586,112300,585,34.5,879
2009-2014,Kentucky,21,Jefferson,111,113.01,1062,68,95200,88,44.5,672
2009-2014,Kentucky,21,Jefferson,111,113.02,2760,341,79900,0,44.5,2187
2009-2014,Kentucky,21,Jefferson,111,114.03,851,88,93500,35,54.5,826
2009-2014,Kentucky,21,Jefferson,111,114.04,1804,327,97400,280,34.5,725
2009-2014,Kentucky,21,Jefferson,111,114.05,2475,317,114200,171,44.5,1408
2009-2014,Kentucky,21,Jefferson,111,114.06,2051,118,118400,382,34.5,956
2009-2014,Kentucky,21,Jefferson,111,115.05,2781,141,150500,241,34.5,2095
2009-2014,Kentucky,21,Jefferson,111,115.06,2175,175,144800,374,34.5,1721
2009-2014,Kentucky,21,Jefferson,111,115.08,2182,265,153900,216,24.5,1794
2009-2014,Kentucky,21,Jefferson,111,115.09,1979,246,143800,276,34.5,752
2009-2014,Kentucky,21,Jefferson,111,115.13,1886,75,136000,119,34.5,1444
2009-2014,Kentucky,21,Jefferson,111,115.14,1451,92,140200,258,14.5,870
2009-2014,Kentucky,21,Jefferson,111,115.15,1836,76,155700,34,34.5,1779
2009-2014,Kentucky,21,Jefferson,111,115.16,1911,8,133600,51,14.5,966
2009-2014,Kentucky,21,Jefferson,111,115.17,2205,56,170400,489,14.5,1613
2009-2014,Kentucky,21,Jefferson,111,115.18,775,0,262800,54,14.5,770
2009-2014,Kentucky,21,Jefferson,111,115.19,2009,104,196600,142,14.5,1651
2009-2014,Kentucky,21,Jefferson,111,115.2,1225,34,314300,175,4.5,1094
2009-2014,Kentucky,21,Jefferson,111,116.01,2371,70,302900,338,14.5,1894
2009-2014,Kentucky,21,Jefferson,111,116.03,2013,127,279900,72,14.5,1445
2009-2014,Kentucky,21,Jefferson,111,116.04,1033,90,359000,68,24.5,994
2009-2014,Kentucky,21,Jefferson,111,117.06,1624,56,147800,118,44.5,1349
2009-2014,Kentucky,21,Jefferson,111,117.07,2254,316,123400,332,24.5,2171
2009-2014,Kentucky,21,Jefferson,111,117.08,1837,94,184200,149,4.5,1189
2009-2014,Kentucky,21,Jefferson,111,117.09,1589,45,225800,36,4.5,1418
2009-2014,Kentucky,21,Jefferson,111,117.1,1103,58,136500,163,14.5,812
2009-2014,Kentucky,21,Jefferson,111,117.11,2250,181,137400,297,24.5,2066
2009-2014,Kentucky,21,Jefferson,111,117.12,1752,187,123400,235,34.5,1195
2009-2014,Kentucky,21,Jefferson,111,117.13,1233,172,97400,119,34.5,724
2009-2014,Kentucky,21,Jefferson,111,118,1335,166,93700,224,44.5,762
2009-2014,Kentucky,21,Jefferson,111,119.01,450,0,11500,88,24.5,38
2009-2014,Kentucky,21,Jefferson,111,119.04,1144,145,92300,103,44.5,637
2009-2014,Kentucky,21,Jefferson,111,119.05,3248,242,109100,306,34.5,2074
2009-2014,Kentucky,21,Jefferson,111,119.06,1605,139,113700,632,34.5,647
2009-2014,Kentucky,21,Jefferson,111,119.07,1866,60,137000,100,44.5,1547
2009-2014,Kentucky,21,Jefferson,111,120.01,1417,154,101300,21,44.5,1267
2009-2014,Kentucky,21,Jefferson,111,120.02,2319,103,86700,446,24.5,1237
2009-2014,Kentucky,21,Jefferson,111,120.03,1451,57,112300,120,34.5,1146
2009-2014,Kentucky,21,Jefferson,111,121.03,1455,304,116500,11,54.5,1226
2009-2014,Kentucky,21,Jefferson,111,121.04,1666,304,89400,35,54.5,1517
2009-2014,Kentucky,21,Jefferson,111,121.05,1939,165,129700,70,34.5,1366
2009-2014,Kentucky,21,Jefferson,111,121.06,3124,223,120200,12,44.5,2539
2009-2014,Kentucky,21,Jefferson,111,121.07,2267,141,119100,82,34.5,1674
2009-2014,Kentucky,21,Jefferson,111,122.02,2692,104,128300,624,44.5,1729
2009-2014,Kentucky,21,Jefferson,111,122.03,2582,125,165800,48,34.5,2030
2009-2014,Kentucky,21,Jefferson,111,122.04,2006,282,194100,76,34.5,1017
2009-2014,Kentucky,21,Jefferson,111,123.01,1417,102,130900,61,44.5,1334
2009-2014,Kentucky,21,Jefferson,111,123.02,2472,320,153000,0,34.5,1400
2009-2014,Kentucky,21,Jefferson,111,124.06,2407,145,112100,29,54.5,2002
2009-2014,Kentucky,21,Jefferson,111,124.07,1890,116,122800,53,44.5,1774
2009-2014,Kentucky,21,Jefferson,111,124.08,1005,53,106200,81,54.5,892
2009-2014,Kentucky,21,Jefferson,111,124.09,1402,95,95100,27,54.5,1378
2009-2014,Kentucky,21,Jefferson,111,124.1,1862,54,150600,47,14.5,1187
2009-2014,Kentucky,21,Jefferson,111,124.11,2598,72,129200,103,34.5,2354
2009-2014,Kentucky,21,Jefferson,111,125.01,1248,96,108100,0,44.5,622
2009-2014,Kentucky,21,Jefferson,111,125.02,2582,173,99000,112,44.5,1891
2009-2014,Kentucky,21,Jefferson,111,125.03,1849,322,101900,33,44.5,1423
2009-2014,Kentucky,21,Jefferson,111,126.01,3041,54,111700,270,44.5,2221
2009-2014,Kentucky,21,Jefferson,111,126.03,1213,42,94500,18,54.5,895
2009-2014,Kentucky,21,Jefferson,111,126.04,2183,104,110500,311,44.5,1732
2009-2014,Kentucky,21,Jefferson,111,127.01,1761,272,80600,59,44.5,1010
2009-2014,Kentucky,21,Jefferson,111,127.02,870,109,91900,50,54.5,865
2009-2014,Kentucky,21,Jefferson,111,127.03,2494,153,107400,92,34.5,1706
2009-2014,Kentucky,21,Jefferson,111,128.01,1453,145,91300,46,54.5,1161
2009-2014,Kentucky,21,Jefferson,111,128.02,1112,31,77000,14,54.5,843
2009-2014,Kentucky,21,Jefferson,111,131,889,46,276700,33,70,814
2009-2014,Kentucky,21,Jefferson,111,9801,0,0,0,0,0,0
